step,time,Lift,Moment,heave,theta,heave_vel,theta_vel
0,0,0,0,0.009885,0.196809,0,0
1,0.01,1.767669,0.030016,0.009643,0.190354,-0.017185,-0.478593
2,0.02,4.107216,0.050527,0.00932,0.181901,-0.030691,-0.808721
3,0.03,6.608883,0.065385,0.009001,0.173222,-0.036244,-0.945278
4,0.04,8.785653,0.071673,0.008775,0.165957,-0.031808,-0.879113
5,0.05,10.308485,0.071506,0.008725,0.161287,-0.017785,-0.655784
6,0.06,10.955628,0.064262,0.008901,0.159689,0.003658,-0.337314
7,0.07,10.735786,0.052934,0.009323,0.160923,0.029009,-0.006232
8,0.08,9.780386,0.03968,0.009971,0.164134,0.054388,0.265029
9,0.09,8.499195,0.028459,0.010801,0.168139,0.076171,0.419979
10,0.1,7.24938,0.022533,0.011755,0.171778,0.092137,0.440225
11,0.11,6.272758,0.02037,0.012773,0.174089,0.101575,0.345546
12,0.12,5.82747,0.023423,0.013804,0.174518,0.104917,0.164755
13,0.13,5.969494,0.029864,0.014818,0.172966,0.103836,-0.051294
14,0.14,6.641551,0.03768,0.015804,0.169736,0.100522,-0.254186
15,0.15,7.709507,0.046405,0.01677,0.165456,0.097163,-0.406887
16,0.16,8.943188,0.053199,0.017737,0.160884,0.095592,-0.480519
17,0.17,10.132936,0.057492,0.018732,0.156741,0.096788,-0.471819
18,0.18,11.096719,0.058684,0.019777,0.153562,0.100866,-0.392837
19,0.19,11.743646,0.05757,0.020888,0.151629,0.107112,-0.26965
20,0.2,12.029103,0.054036,0.022064,0.150918,0.114312,-0.131049
21,0.21,12.025836,0.050424,0.023294,0.151181,0.120932,-0.009959
22,0.22,11.802313,0.045731,0.024552,0.151961,0.125626,0.074997
23,0.23,11.560615,0.043592,0.025808,0.152785,0.127257,0.103835
24,0.24,11.39132,0.042861,0.02703,0.153237,0.125489,0.084491
25,0.25,11.417691,0.044779,0.028189,0.153078,0.120439,0.026688
26,0.26,11.642743,0.047501,0.029266,0.152234,0.112817,-0.046417
27,0.27,12.068517,0.050904,0.030247,0.150791,0.103476,-0.118638
28,0.28,12.6497,0.054816,0.03113,0.148976,0.093378,-0.174291
29,0.29,13.261056,0.05707,0.031917,0.147043,0.083394,-0.200068
30,0.3,13.87643,0.058827,0.032615,0.145246,0.073949,-0.199321
31,0.31,14.42669,0.059985,0.033232,0.143816,0.065334,-0.172783
32,0.32,14.860487,0.060288,0.033773,0.142918,0.057565,-0.124663
33,0.33,15.097722,0.059009,0.034242,0.142589,0.050413,-0.063256
34,0.34,15.224922,0.05797,0.034638,0.142792,0.043307,-0.004462
35,0.35,15.17957,0.055661,0.034955,0.143376,0.035915,0.046985
36,0.36,15.085574,0.054373,0.035184,0.144164,0.027687,0.07741
37,0.37,15.003117,0.054384,0.035317,0.145025,0.018496,0.088972
38,0.38,14.8745,0.053217,0.035345,0.145805,0.00849,0.089723
39,0.39,14.794027,0.052888,0.035263,0.14639,-0.002353,0.073951
40,0.4,14.794957,0.054064,0.035069,0.14677,-0.013697,0.048753
41,0.41,14.877198,0.056331,0.034766,0.147056,-0.02502,0.027778
42,0.42,14.952048,0.057817,0.034361,0.147398,-0.035757,0.023913
43,0.43,14.95648,0.057864,0.033861,0.147906,-0.045652,0.037027
